voter_name,canonical_id,role,position
Thomas Allenbach,F:0565ff7fd56c,critic,4
Thomas Allenbach,F:8fe1bdde11ef,critic,3
Thomas Allenbach,F:214b96df970a,critic,1
Thomas Allenbach,F:03809811ea9b,critic,2
Thomas Allenbach,F:e4e5d0b8b474,critic,6
Thomas Allenbach,F:b5a06746734d,critic,9
Thomas Allenbach,F:813bde6e3053,critic,5
Claire Allouche,F:96b0125c2257,critic,6
Claire Allouche,F:73bc2b4ab8ea,critic,5
Claire Allouche,F:ff478deae1ed,critic,7
Claire Allouche,F:091d6c34db3a,critic,1
Claire Allouche,F:c22c42cd69b9,critic,10
Claire Allouche,F:2e82de15bf77,critic,4
Claire Allouche,F:da8f9dbede74,critic,2
Claire Allouche,F:83532d3be249,critic,3
Claire Allouche,F:2da4899c687b,critic,8
Claire Allouche,F:f87b3c091815,critic,9
Nellie Alston,F:08966bbb6c53,critic,10
Nellie Alston,F:cbb0587ba064,critic,9
Nellie Alston,F:a7dc5420f605,critic,6
Nellie Alston,F:3d57bbc1680d,critic,5
Nellie Alston,F:10e86670da04,critic,8
Nellie Alston,F:c634a396ca86,critic,1
Nellie Alston,F:9092dd8aef43,critic,4
Nellie Alston,F:71104744785f,critic,2
Nellie Alston,F:72589a3b5fa2,critic,3
Nellie Alston,F:28d41c264f9a,critic,7
Tunico Amâncio,F:bf6387f2c8ae,critic,9
Tunico Amâncio,F:8b4b310f435e,critic,5
Tunico Amâncio,F:19eb92f7e110,critic,2
Tunico Amâncio,F:b132d89fef53,critic,8
Tunico Amâncio,F:93a1beda19cd,critic,4
Tunico Amâncio,F:b5a06746734d,critic,10
Tunico Amâncio,F:83ebc8b43c9d,critic,6
Tunico Amâncio,F:0df7362f710e,critic,3
Tunico Amâncio,F:03774d8054b0,critic,7
Tunico Amâncio,F:9f4bdfd01cfb,critic,1
Shola Amoo,F:d0763320d002,director,2
Shola Amoo,F:9b6d7e6fd7d3,director,5
Shola Amoo,F:b132d89fef53,director,10
Shola Amoo,F:82871fa40fd5,director,4
Shola Amoo,F:2e9ddad51cab,director,3
Shola Amoo,F:4434c6705bd6,director,8
Shola Amoo,F:4cce2f95dd1b,director,6
Shola Amoo,F:57a1bf06a3b8,director,7
Shola Amoo,F:99516bf5226c,director,1
Shola Amoo,F:d1188b34b03c,director,9
Salvador Amores,F:f128272fb973,critic,7
Salvador Amores,F:5c226aa5de90,critic,9
Salvador Amores,F:b7dbf64232a8,critic,10
Salvador Amores,F:894a2bacef7f,critic,8
Salvador Amores,F:52158130c010,critic,4
Salvador Amores,F:0c9e13f7c1bd,critic,1
Salvador Amores,F:92f70cc71273,critic,5
Salvador Amores,F:5c7b5c32176b,critic,2
Salvador Amores,F:a0352b39f069,critic,6
Salvador Amores,F:46db5f2ee505,critic,3
Diego Andaluz,F:7af3bfecc2a8,critic,4
Diego Andaluz,F:29e8c2663329,critic,8
Diego Andaluz,F:b132d89fef53,critic,10
Diego Andaluz,F:653f45346bcc,critic,9
Diego Andaluz,F:993081619bf4,critic,3
Diego Andaluz,F:d0416491dc50,critic,5
Diego Andaluz,F:b0360159539e,critic,6
Diego Andaluz,F:f376d0dacdd0,critic,7
Diego Andaluz,F:3deebe327b41,critic,2
Diego Andaluz,F:98bb0cf30f73,critic,1
Nirit Anderman,F:c78c6b97f980,critic,5
Nirit Anderman,F:83c734e30238,critic,10
Nirit Anderman,F:f44713a09e4d,critic,7
Nirit Anderman,F:97b42f962368,critic,9
Nirit Anderman,F:10e86670da04,critic,6
Nirit Anderman,F:e4227f57ad92,critic,4
Nirit Anderman,F:f60d8a411d0b,critic,3
Nirit Anderman,F:9dcda2fe3a7e,critic,1
Nirit Anderman,F:ec7726632ac1,critic,8
Nirit Anderman,F:e0116f38d00c,critic,2
Allison Anders,F:e414fbe0b027,director,4
Allison Anders,F:b73822cfb14f,director,1
Allison Anders,F:4f6998b28856,director,2
