row_index,voter_name,raw_title,raw_year,raw_director,canonical_id,resolved_year,flag_types
261,Sy Alassane,Bamako,2006,Abderrahmane Sissako,F:a9e6b3878b45,2006,
262,Sy Alassane,Atlantique,2019,Mati Diop,F:29be497f95ce,2019,
263,Sy Alassane,Saint Omer,2022,,F:747708787a3f,2022,
264,Sy Alassane,Spy Game,2001,Tony Scott,F:15e746d63958,2001,
265,Sy Alassane,The Departed,2006,Martin Scorsese,F:ab6377087725,2006,
266,Sy Alassane,GoodFellas,1990,Martin Scorsese,F:59ad7c389a61,1990,
267,Sy Alassane,Beauty,2022,Andrew Dosunmu,F:1df1420813b7,2022,
268,Saleem Albeik,Persona,1966,Ingmar Bergman,F:97b42f962368,1966,
269,Saleem Albeik,L'avventura,1960,Michelangelo Antonioni,F:15298623ef1f,1960,
270,Saleem Albeik,Tokyo Story,1953,Yasujirō Ozu,F:9f96298e4d23,1953,
271,Saleem Albeik,Man with a Movie Camera,1929,Dziga Vertov,F:69f5bed6f836,1929,
272,Saleem Albeik,Bicycle Thieves,1948,Vittorio De Sica,F:edfb01f5a9d6,1948,
273,Saleem Albeik,8 1/2,1963,Federico Fellini,F:83ebc8b43c9d,1963,
274,Saleem Albeik,Citizen Kane,1941,Orson Welles,F:bf6387f2c8ae,1941,
275,Saleem Albeik,Battleship Potemkin,1925,Sergei M. Eisenstein,F:95bd800bd9e5,1925,
276,Saleem Albeik,Le Mépris,1963,Jean-Luc Godard,F:8fe1bdde11ef,1963,
277,Saleem Albeik,Intervention Divine,2002,Elia Suleiman,F:25c92cc36090,2002,
278,Rommy Albers,Citizen Kane,1941,Orson Welles,F:bf6387f2c8ae,1941,
279,Rommy Albers,2001: A Space Odyssey,1968,Stanley Kubrick,F:b132d89fef53,1968,
280,Rommy Albers,La strada,1954,Federico Fellini,F:6ff93b77cfca,1954,
281,Rommy Albers,Seven Samurai,1954,Akira Kurosawa,F:03774d8054b0,1954,
282,Rommy Albers,Nostalghia,1983,Andrei Tarkovsky,F:6a2cf6c39785,1983,
283,Rommy Albers,M,1931,Fritz Lang,F:c0891d475a49,1931,
284,Rommy Albers,Vertigo,1958,Alfred Hitchcock,F:b5a06746734d,1958,
285,Rommy Albers,The Sweet Hereafter,1997,Atom Egoyan,F:d40068f45bd3,1997,
