row_id,source,voter_name,position,book_title,book_author,year,openLibraryId,canonical_id,canonical_title
42c4583065f0d6e1,Top Ten Books,Scott Turow,2,Anna Karenina,Leo Tolstoy,1877,,OL:OL267096W,Anna Karenina
f7dc36fc40d74b22,Top Ten Books,Scott Turow,3,Rabbit Angstrom,,,,K:648d96119cba,Rabbit Angstrom
ea76b0657f468db2,Top Ten Books,Scott Turow,3,"Rabbit, Run",,1960,,K:7e9d771efef0,"Rabbit, Run"
e75f1505d8ec9137,Top Ten Books,Scott Turow,3,Rabbit Redux,,1971,,K:e52d3ae438d6,Rabbit Redux
66da6d95c9d77d6a,Top Ten Books,Scott Turow,3,Rabbit Is Rich,,1981,,K:3c7530217d1d,Rabbit Is Rich
858779ea14c60900,Top Ten Books,Scott Turow,3,Rabbit at Rest,,1990,,K:f409150e2aca,Rabbit at Rest
2bbbb2535df1c176,Top Ten Books,Scott Turow,4,Herzog,Saul Bellow,1964,,OL:OL15859552W,Herzog
68e21dc31d837057,Top Ten Books,Scott Turow,5,Tell Me a Riddle,Tillie Olsen,1961,,K:f4b1dfef3b9c,Tell Me a Riddle
7aec118b59d41176,Top Ten Books,Scott Turow,6,The Count of Monte Cristo,Alexandre Dumas,1844,,OL:OL43161739W,The Count of Monte Cristo
2372132e0f90da76,Top Ten Books,Scott Turow,7,Works of William Shakespeare,,1564-1616,,K:4c91ce3a8a63,Works of William Shakespeare
0be16b33a305a06e,Top Ten Books,Scott Turow,8,The Bear,William Faulkner,1942,,K:a6094632e300,The Bear
a8f65f802d6a4fa9,Top Ten Books,Scott Turow,9,Tender Is the Night,F. Scott Fitzgerald,1934,,OL:OL468485W,Tender Is the Night
dcbf66e3e8a50963,Top Ten Books,Scott Turow,10,The Thin Man,Dashiell Hammett,1932,,K:ee0cb4357f1c,The Thin Man
2da4e2359893d792,Top Ten Books,Stewart O'Nan,1,Hamlet,William Shakespeare,1600,,K:fbe28ea907ef,Hamlet
0cd2d5c1bd1b100e,Top Ten Books,Stewart O'Nan,2,Macbeth,William Shakespeare,1606,,K:addeb3f5ad0c,Macbeth
11c557b823c8f0f2,Top Ten Books,Stewart O'Nan,3,Stories of Anton Chekhov,,1860-1904,,K:6b584d1b9428,Stories of Anton Chekhov
e94f09e43275eea7,Top Ten Books,Stewart O'Nan,4,Anna Karenina,Leo Tolstoy,1877,,OL:OL267096W,Anna Karenina
58a26571073b49e7,Top Ten Books,Stewart O'Nan,5,Heart of Darkness,Joseph Conrad,1899,,OL:OL38663W,Heart of Darkness
3776dff23f47e827,Top Ten Books,Stewart O'Nan,6,The Tempest,William Shakespeare,1610,,K:ef6aa2e15e06,The Tempest
46bfe52d13aabab1,Top Ten Books,Stewart O'Nan,7,To the Lighthouse,Virginia Woolf,1927,,OL:OL39396W,To the Lighthouse
13fd5604f71331ff,Top Ten Books,Stewart O'Nan,8,"Winesburg, Ohio",Sherwood Anderson,1919,,K:6d7a4faa0e0d,"Winesburg, Ohio"
4a96f8018f98b9b9,Top Ten Books,Stewart O'Nan,9,Alice's Adventures in Wonderland,Lewis Carroll,1865,,OL:OL151411W,Alice's Adventures in Wonderland
8fba0d5c107080ed,Top Ten Books,Stewart O'Nan,10,Parables and Paradoxes,Franz Kafka,1935,,K:1e17977a66bd,Parables and Paradoxes
15181fa252e643a7,Top Ten Books,T.C. Boyle,1,Love Medicine,Louise Erdrich,1984,,OL:OL479009W,Love Medicine
1f217116c0f8e29e,Top Ten Books,T.C. Boyle,2,The Remains of the Day,Kazuo Ishiguro,1989,,OL:OL59048W,The Remains of the Day
15bdd55b486b7d71,Top Ten Books,T.C. Boyle,3,Fiskadoro,Denis Johnson,1985,,K:01d151000e8d,Fiskadoro
24cd1ffbd843c227,Top Ten Books,T.C. Boyle,4,The Messiah of Stockholm,Cynthia Ozick,1987,,K:1553218ce7b2,The Messiah of Stockholm
7196239c71bafed7,Top Ten Books,T.C. Boyle,5,Lucy,Jamaica Kincaid,1990,,K:db767ae52941,Lucy
2416352867cbd8e5,Top Ten Books,T.C. Boyle,6,White Noise,Don DeLillo,1985,,OL:OL1921196W,White Noise
b8b741c63db8d070,Top Ten Books,T.C. Boyle,7,Chronicle of a Death Foretold,Gabriel García Márquez,1983,,OL:OL26201952W,Chronicle of a Death Foretold
3b70f604e52e6ec8,Top Ten Books,T.C. Boyle,8,Ficciones,Jorge Luis Borges,1944,,K:969b47058d9c,Ficciones
446ca5c7b5934dee,Top Ten Books,T.C. Boyle,9,V.,Thomas Pynchon,1963,,K:dc60bff5362f,V.
