canonical_id,canonical_title,canonical_author,canonical_year,n_rows,n_voters,source_olids,derived_from
OL:OL44820011W,Pnin,Vladimir Nabokov,1953,3,3,OL44820011W;OL627082W,olid_anchor
OL:OL103108W,A Bend in the River,V. S. Naipaul,1979,3,3,OL103108W,olid_anchor
K:c34e51144bbc,For Whom the Bell Tolls,Ernest Hemingway,1940,3,3,,title_author_exact
OL:OL1858631W,"Good Morning, Midnight",Jean Rhys,1939,3,3,OL1858631W,olid_anchor
K:1d1ae492ede5,Don Juan,Lord Byron,1819,3,3,,title_author_exact
OL:OL228715W,Another Country,James Baldwin,1962,3,3,OL228715W,olid_anchor
OL:OL106837W,Memoirs of Hadrian,Marguerite Yourcenar,1951,3,3,OL106837W,olid_anchor
K:c7f77816dbd2,The Man Who Loved Children,Christina Stead,1940,3,3,,title_author_exact
OL:OL5721565W,A Handful of Dust,Evelyn Waugh,1934,3,3,OL5721565W,olid_anchor
OL:OL159382W,The Lover,Marguerite Duras,1984,3,3,OL159382W,olid_anchor
OL:OL15026613W,A Visit From the Goon Squad,Jennifer Egan,2010,3,3,OL15026613W,olid_anchor
OL:OL15202030W,The Hunchback of Notre-Dame,Victor Hugo,1831,3,3,OL15202030W,olid_anchor
OL:OL16246083W,Death in Venice,Thomas Mann,1912,3,3,OL16246083W,olid_anchor
K:3d8256fe2668,Appointment in Samarra,John O'Hara,1934,3,3,,title_author_exact
OL:OL2009202W,Light Years,James Salter,1975,3,3,OL2009202W,olid_anchor
OL:OL40885W,Suttree,Cormac McCarthy,1979,3,3,OL40885W,olid_anchor
OL:OL953028W,Heart so White,Javier Marías,1994,3,3,OL953028W,olid_anchor
OL:OL4082696W,The Corrections,Jonathan Franzen,2001,3,3,OL4082696W,olid_anchor
OL:OL1434640W,Berlin Alexanderplatz,Alfred Döblin,1929,3,3,OL1434640W,olid_anchor
OL:OL1209288W,All Quiet on the Western Front,Erich Maria Remarque,1929,3,3,OL1209288W,olid_anchor
K:132c540db579,Sister Carrie,Theodore Dreiser,1900,3,3,,title_author_exact
OL:OL20665410W,The Mirror and the Light,Hilary Mantel,,3,3,OL20665410W,olid_anchor
OL:OL112983W,A Month in the Country,JL Carr,,3,3,OL112983W;OL8336367W,olid_anchor
OL:OL20771W,The Blue Flower,Penelope Fitzgerald,,3,3,OL20771W,olid_anchor
OL:OL2564006W,The Tale of Genji,Murasaki Shikibu,,3,3,OL2564006W,olid_anchor
OL:OL40873W,The Road,Cormac McCarthy,2006,3,3,OL40873W,olid_anchor
OL:OL2196010W,The Summer Book,Tove Jansson,,3,3,OL2196010W,olid_anchor
OL:OL2943602W,Infinite Jest,David Foster Wallace,,3,3,OL2943602W,olid_anchor
OL:OL27871634W,Septology,Jon Fosse,,3,3,OL27871634W,olid_anchor
OL:OL44994W,The Return of the Native,Thomas Hardy,1878,3,3,OL44994W,olid_anchor
OL:OL1731119W,Pedro Páramo,Juan Rulfo,1955,3,3,OL1731119W,olid_anchor
OL:OL53908W,Huckleberry Finn,Mark Twain,,3,3,OL53908W,olid_anchor
OL:OL17063057W,How to Be Both,Ali Smith,,3,3,OL17063057W,olid_anchor
OL:OL17351965W,Drive Your Plow Over the Bones of the Dead,Olga Tokarczuk,,3,3,OL17351965W,olid_anchor
OL:OL1095403W,Villette,Charlotte Brontë,,3,3,OL1095403W,olid_anchor
OL:OL157104W,Life and Fate,Vasily Grossman,1980,3,3,OL157104W,olid_anchor
OL:OL102389W,The Years,Annie Ernaux,,3,3,OL102389W,olid_anchor
OL:OL8996439W,The Name of the Rose,Umberto Eco,,3,3,OL8996439W,olid_anchor
OL:OL109724W,Barchester Towers,Anthony Trollope,,3,3,OL109724W;OL41656231W,olid_anchor
OL:OL2047674W,The Go-Between,LP Hartley,1953,3,3,OL2047674W,olid_anchor
OL:OL9362446W,The Easter Parade,Richard Yates,1976,2,2,OL9362446W,olid_anchor
K:3e4c8a960300,Candide,Voltaire,1759,2,2,,title_author_exact
K:6baf284ba2c5,The poems of Emily Dickinson,,,1,2,,title_author_exact
OL:OL81294W,Women in Love,D. H. Lawrence,1920,2,2,OL81294W,olid_anchor
K:8a974c3db91a,Troilus and Criseyde,Geoffrey Chaucer,1381,2,2,,title_author_exact
OL:OL40690787W,Washington Square,Henry James,1880,3,2,OL40690787W,olid_anchor
OL:OL20422365W,Woodcutters,Thomas Bernhard,1984,2,2,OL20422365W,olid_anchor
K:009fc9ee2b85,"Molloy, Malone Dies, and The Unnamable",Samuel Beckett,,2,2,,title_author_exact
K:95fdf062893b,Hard Times,Charles Dickens,1854,2,2,,title_author_exact
K:a6094632e300,The Bear,William Faulkner,1942,2,2,,title_author_exact
OL:OL1921196W,White Noise,Don DeLillo,1985,2,2,OL1921196W,olid_anchor
OL:OL26201952W,Chronicle of a Death Foretold,Gabriel García Márquez,1983,2,2,OL26201952W,olid_anchor
OL:OL8972751W,The Unbearable Lightness of Being,Milan Kundera,1984,2,2,OL8972751W,olid_anchor
K:5610cd9f092e,The Killer Inside Me,Jim Thompson,1952,2,2,,title_author_exact
OL:OL483391W,Charlotte's Web,E. B. White,1952,2,2,OL483391W,olid_anchor
K:76ef59a89b06,Death of a Salesman,Arthur Miller,1949,2,2,,title_author_exact
OL:OL2384132W,"Cry, the Beloved Country",Alan Paton,1948,2,2,OL2384132W,olid_anchor
K:910a38647a5c,Stories of Grace Paley,,,1,2,,title_author_exact
K:a452f45af6bc,Grimm's Fairy Tales,,,1,2,,title_author_exact
K:23e11cce9bf8,"Speak, Memory",Vladimir Nabokov,1951,2,2,,title_author_exact
K:7a4667d98f9f,A Death in the Family,James Agee,1957,2,2,,title_author_exact
K:d269f3b1008d,The Importance of Being Earnest,Oscar Wilde,1895,2,2,,title_author_exact
OL:OL1326348W,A Severed Head,Iris Murdoch,1961,2,2,OL1326348W,olid_anchor
K:3370e18f51ca,His Dark Materials,Philip Pullman,,2,2,,title_author_exact
K:af9b5d2a92ca,The Hours,Michael Cunningham,1998,2,2,,title_author_exact
K:daa94665cde4,Metamorphoses,Ovid,,2,2,,title_author_exact
K:2ba7f9e2d3da,The Untouchable,John Banville,1997,2,2,,title_author_exact
K:19f63e640608,The Master,Colm Tóibín,2004,2,2,,title_author_exact
K:f5a6ea3da198,Miss Lonelyhearts,Nathanael West,1933,2,2,,title_author_exact
K:0cedd0859856,Stories of William Trevor,,,1,2,,title_author_exact
