canonical_id,title,author,source_olids,raw_year,gap_reason,year
K:0cedd0859856,Stories of William Trevor,William Trevor,,,truly-blank,
OL:OL19926957W,Strange Tales From a Chinese Studio,Pu Songling,OL19926957W,,truly-blank,
OL:OL14919676W,Strangers,Anita Brookner,OL14919676W,,truly-blank,
OL:OL16821748W,Sudden Death,Álvaro Enrigue,OL16821748W,,truly-blank,
OL:OL1308096W,Suite Française,Irène Némirovsky,OL1308096W,,truly-blank,
OL:OL10247572W,Sultana's Dream,Rokeya Sakhawat Hossain,OL10247572W,,truly-blank,
OL:OL14934891W,Summertime,J. M. Coetzee,OL14934891W,,truly-blank,
OL:OL1057179W,Swami and Friends,R. K. Narayan,OL1057179W;OL43348053W,,truly-blank,
OL:OL17267887W,Tale for the Time Being,Ruth Ozeki,OL17267887W,,truly-blank,
OL:OL2433540W,Tales of the City,Armistead Maupin,OL2433540W,,truly-blank,
OL:OL26496349W,Tamarisk Row,Gerald Murnane,OL26496349W;OL3128703W,,truly-blank,
OL:OL50557W,Tar Baby,Toni Morrison,OL50557W,,truly-blank,
OL:OL11376124W,Tarka the Otter,Henry Williamson,OL11376124W,,truly-blank,
OL:OL20914620W,Telephone,Percival L. Everett,OL20914620W,,truly-blank,
OL:OL11382843W,Territory of Light,Yuko Tsushima,OL11382843W,,truly-blank,
OL:OL3820668W,Textermination,Christine Brooke-Rose,OL3820668W,,truly-blank,
OL:OL76524W,The 39 Steps,John Buchan,OL76524W,,truly-blank,
OL:OL506116W,The Adventures of Augie March,Saul Bellow,OL506116W,,truly-blank,
OL:OL8193478W,The Adventures of Oliver Twist,Charles Dickens,OL8193478W,,truly-blank,
OL:OL166482W,The Affirmation,Christopher Priest,OL166482W,,truly-blank,
OL:OL796465W,The Alchemist,Paulo Coelho,OL796465W,,truly-blank,
OL:OL48286W,The Alexandria Quartet ,Lawrence Durrell,OL48286W,,truly-blank,
OL:OL465059W,The Amazing Mr Blunden,Antonia Barber,OL465059W,,truly-blank,
OL:OL37277W,The Autobiography of Alice B. Toklas,Gertrude Stein,OL37277W,,truly-blank,
OL:OL1326304W,The Bell,Iris Murdoch,OL1326304W,,truly-blank,
OL:OL1970213W,The Birthday Boys,Beryl Bainbridge,OL1970213W,,truly-blank,
OL:OL8398736W,The Blind Owl,Sadegh Hedayat,OL8398736W,,truly-blank,
OL:OL6831429W,The Bloater,Rosemary Tonks,OL6831429W,,truly-blank,
OL:OL20771W,The Blue Flower,Penelope Fitzgerald,OL20771W,,truly-blank,
OL:OL3991459W,The Bone People,Keri Hulme,OL3991459W,,truly-blank,
OL:OL1925470W,The Bonfire of the Vanities,Tom Wolfe,OL1925470W,,truly-blank,
